station_id,name,address,position_lat,position_long,status,bike_stands,banking,bonus
75,"JAMES STREET","James Street",53.343456,-6.287409,OPEN,40,0,0
76,"MARKET STREET SOUTH","Market Street South",53.342296,-6.287661,OPEN,38,0,0
77,"WOLFE TONE STREET","Wolfe Tone Street",53.348875,-6.267459,OPEN,29,0,0
78,"MATER HOSPITAL","Mater Hospital",53.359967,-6.264828,OPEN,40,0,0
79,"ECCLES STREET EAST","Eccles Street East",53.358115,-6.265601,OPEN,27,0,0
80,"ST JAMES HOSPITAL (LUAS)","St James Hospital (Luas)",53.341359,-6.292951,OPEN,40,0,0
82,"MOUNT BROWN","Mount Brown",53.341645,-6.29719,OPEN,22,0,0
83,"EMMET ROAD","Emmet Road",53.340714,-6.308191,OPEN,40,0,0
84,"BROOKFIELD ROAD","Brookfield Road",53.339005,-6.300217,OPEN,30,0,0
85,"ROTHE ABBEY","Rothe Abbey",53.338776,-6.30395,OPEN,35,0,0
86,"PARKGATE STREET","Parkgate Street",53.347972,-6.291804,OPEN,38,0,0
87,"COLLINS BARRACKS MUSEUM","Collins Barracks Museum",53.347477,-6.28525,OPEN,38,0,0
88,"BLACKHALL PLACE","Blackhall Place",53.3488,-6.281637,OPEN,30,0,0
89,"FITZWILLIAM SQUARE EAST","Fitzwilliam Square East",53.335211,-6.2509,OPEN,40,0,0
90,"BENSON STREET","Benson Street",53.344153,-6.233451,OPEN,40,0,0
91,"SOUTH DOCK ROAD","South Dock Road",53.341833,-6.231291,OPEN,30,0,0
92,"HEUSTON BRIDGE (NORTH)","Heuston Bridge (North)",53.347802,-6.292432,OPEN,40,0,0
93,"HEUSTON STATION (CENTRAL)","Heuston Station (Central)",53.346603,-6.296924,OPEN,40,0,0
94,"HEUSTON STATION (CAR PARK)","Heuston Station (Car Park)",53.346985,-6.297804,OPEN,40,0,0
95,"ROYAL HOSPITAL","Royal Hospital",53.343897,-6.29706,OPEN,40,0,0
96,"KILMAINHAM LANE","Kilmainham Lane",53.341805,-6.305085,OPEN,30,0,0
97,"KILMAINHAM GAOL","Kilmainham Gaol",53.342113,-6.310015,OPEN,40,0,0
98,"FREDERICK STREET SOUTH","Frederick Street South",53.341515,-6.256853,OPEN,40,0,0
99,"CITY QUAY","City Quay",53.346637,-6.246154,OPEN,30,0,0
100,"HEUSTON BRIDGE (SOUTH)","Heuston Bridge (South)",53.347106,-6.292041,OPEN,25,0,0
101,"KING STREET NORTH","King Street North",53.350291,-6.273507,OPEN,30,0,0
102,"WESTERN WAY","Western Way",53.354929,-6.269425,OPEN,40,0,0
103,"GRANGEGORMAN LOWER (SOUTH)","Grangegorman Lower (South)",53.354663,-6.278681,OPEN,40,0,0
104,"GRANGEGORMAN LOWER (CENTRAL)","Grangegorman Lower (Central)",53.355173,-6.278424,OPEN,40,0,0
105,"GRANGEGORMAN LOWER (NORTH)","Grangegorman Lower (North)",53.355954,-6.278378,OPEN,36,0,0
106,"RATHDOWN ROAD","Rathdown Road",53.35893,-6.280337,OPEN,40,0,0
107,"CHARLEVILLE ROAD","Charleville Road",53.359157,-6.281866,OPEN,40,0,0
108,"AVONDALE ROAD","Avondale Road",53.359405,-6.276142,OPEN,35,0,0
109,"BUCKINGHAM STREET LOWER","Buckingham Street Lower",53.353331,-6.249319,OPEN,29,0,0
110,"PHIBSBOROUGH ROAD","Phibsborough Road",53.356307,-6.273717,OPEN,40,0,0
111,"MOUNTJOY SQUARE EAST","Mountjoy Square East",53.356717,-6.256359,OPEN,40,0,0
112,"NORTH CIRCULAR ROAD (O'CONNELL'S)","North Circular Road (O'Connell's)",53.357841,-6.251557,OPEN,30,0,0
113,"MERRION SQUARE SOUTH","Merrion Square South",53.338614,-6.248606,OPEN,40,0,0
114,"WILTON TERRACE (PARK)","Wilton Terrace (Park)",53.333653,-6.248345,OPEN,40,0,0
115,"KILLARNEY STREET","Killarney Street",53.354845,-6.247579,OPEN,30,0,0
116,BROADSTONE,Broadstone,53.3547,-6.272314,OPEN,30,0,0
117,"HANOVER QUAY EAST","Hanover Quay East",53.343653,-6.231755,OPEN,40,0,0
507,"ORIEL STREET TEST TERMINAL","JCDecaux Ireland, 52 Oriel Street Lower, Dublin 1",53.35463,-6.242615,OPEN,1,0,0
